"Type","Team","Group","Position","Name","DOB","Caps","Goals","Country and Club"
"Age","Egypt","A","DF","Ahmed Elmohamady","1987-09-09","76","2","England Aston Villa"
"Age","Egypt","A","DF","Ahmed Fathy","1984-11-10","124","3","Egypt Al Ahly"
"Age","Egypt","A","DF","Ahmed Hegazi","1991-01-25","43","1","England West Bromwich Albion"
"Age","Egypt","A","DF","Ali Gabr","1993-07-28","20","1","England West Bromwich Albion"
"Age","Egypt","A","DF","Ayman Ashraf","1991-04-09","4","0","Egypt Al Ahly"
"Age","Egypt","A","DF","Mahmoud Hamdy","1995-06-01","0","0","Egypt Zamalek"
"Age","Egypt","A","DF","Mohamed Abdel-Shafy","1985-07-01","49","1","Saudi Arabia Al Fateh"
"Age","Egypt","A","DF","Omar Gaber","1992-01-30","23","0","United States Los Angeles FC"
"Age","Egypt","A","DF","Saad Samir","1989-04-01","10","0","Egypt Al Ahly"
"Age","Egypt","A","FW","Marwan Mohsen","1989-02-26","22","4","Egypt Al Ahly"
"Age","Egypt","A","FW","Mohamed Salah","1992-06-15","57","33","England Liverpool"
"Age","Egypt","A","GK","Essam El-Hadary (captain)","1973-01-15","156","0","Saudi Arabia Al Taawoun"
"Age","Egypt","A","GK","Mohamed El-Shenawy","1988-12-18","1","0","Egypt Al Ahly"
"Age","Egypt","A","GK","Sherif Ekramy","1983-07-01","22","0","Egypt Al Ahly"
"Age","Egypt","A","MF","Abdallah Said","1985-07-13","34","6","Finland KuPS"
"Age","Egypt","A","MF","Amr Warda","1993-09-13","14","0","Greece Atromitos"
"Age","Egypt","A","MF","Kahraba","1994-04-13","17","3","Saudi Arabia Al Ittihad"
"Age","Egypt","A","MF","Mohamed Elneny","1992-07-11","60","5","England Arsenal"
"Age","Egypt","A","MF","Ramadan Sobhi","1997-01-23","21","1","England Stoke City"
"Age","Egypt","A","MF","Sam Morsy","1991-09-10","3","0","England Wigan Athletic"
"Age","Egypt","A","MF","Shikabala","1986-03-05","28","2","Saudi Arabia Al Raed"
"Age","Egypt","A","MF","Tarek Hamed","1988-10-24","19","0","Egypt Zamalek"
"Age","Egypt","A","MF","Trézéguet","1994-10-01","23","2","Turkey Kasımpaşa"
"Age","Russia","A","DF","Andrei Semyonov","1989-03-24","6","0","Russia Akhmat Grozny"
"Age","Russia","A","DF","Fyodor Kudryashov","1987-04-05","17","0","Russia Rubin Kazan"
"Age","Russia","A","DF","Igor Smolnikov","1988-08-08","25","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","DF","Ilya Kutepov","1993-07-29","6","0","Russia Spartak Moscow"
"Age","Russia","A","DF","Mário Fernandes","1990-09-19","3","0","Russia CSKA Moscow"
"Age","Russia","A","DF","Sergei Ignashevich","1979-07-14","120","8","Russia CSKA Moscow"
"Age","Russia","A","DF","Vladimir Granat","1987-05-22","11","1","Russia Rubin Kazan"
"Age","Russia","A","FW","Aleksei Miranchuk","1995-10-17","16","4","Russia Lokomotiv Moscow"
"Age","Russia","A","FW","Artem Dzyuba","1988-08-22","22","11","Russia Arsenal Tula"
"Age","Russia","A","FW","Fyodor Smolov","1990-02-05","30","12","Russia Krasnodar"
"Age","Russia","A","GK","Andrey Lunyov","1991-11-13","3","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","GK","Igor Akinfeev (captain)","1986-04-08","104","0","Russia CSKA Moscow"
"Age","Russia","A","GK","Vladimir Gabulov","1983-10-19","10","0","Belgium Club Brugge"
"Age","Russia","A","MF","Alan Dzagoev","1990-06-17","55","9","Russia CSKA Moscow"
"Age","Russia","A","MF","Aleksandr Golovin","1996-05-30","17","2","Russia CSKA Moscow"
